,e,n,mpd_threshold,classifier_attack_success_rate,MPD_detection_rate
0,2.24,0,0.3773469387755102,0.007017543859649145,0.875
1,2.24,1,0.3773469387755102,0.02017543859649118,0.6086956521739131
2,2.24,2,0.3314285714285714,0.02149122807017545,0.6326530612244898
3,2.24,3,0.14775510204081632,0.06447368421052635,0.9251700680272109
4,2.24,4,0.13244897959183674,0.07675438596491224,0.9371428571428572
5,2.24,5,0.13244897959183674,0.06929824561403508,0.9430379746835443
6,2.24,6,0.3773469387755102,0.06929824561403508,0.879746835443038
7,2.24,7,0.3773469387755102,0.11403508771929827,0.7807692307692308
8,2.24,8,0.11714285714285713,0.6254385964912281,0.9361851332398317
9,2.24,9,0.13244897959183674,0.625,0.9340350877192982
10,2.24,10,0.11714285714285713,0.6271929824561404,0.9412587412587412
11,2.24,11,0.11714285714285713,0.6271929824561404,0.9412587412587412
12,2.24,12,0.11714285714285713,0.631578947368421,0.9416666666666667
13,2.24,13,0.11714285714285713,0.9986842105263158,0.9604743083003953
14,2.24,14,0.11714285714285713,0.9960526315789474,0.9616908850726552
15,2.24,15,0.11714285714285713,0.9960526315789474,0.9625715543813298
16,2.24,16,0.1783673469387755,0.9912280701754386,0.9730088495575221
17,2.24,17,0.040612244897959185,0.9912280701754386,0.9969026548672566
18,2.24,18,0.040612244897959185,0.9842105263157894,0.9964349376114082
19,2.24,19,0.040612244897959185,0.9842105263157894,0.9959893048128342
20,2.24,20,0.040612244897959185,0.9842105263157894,0.9959893048128342
21,2.24,21,0.040612244897959185,0.9776315789473684,0.9950650515926425
22,2.24,22,0.040612244897959185,0.9627192982456141,0.9927107061503417
23,2.24,23,0.040612244897959185,0.9473684210526316,0.9925925925925926
24,2.24,24,0.040612244897959185,0.9473684210526316,0.9930555555555556
25,2.24,25,0.040612244897959185,0.9307017543859649,0.9929311969839774
26,2.24,26,0.040612244897959185,0.9307017543859649,0.9929311969839774
27,2.24,27,0.10183673469387754,0.9245614035087719,0.99573055028463
28,2.24,28,0.10183673469387754,0.9245614035087719,1.0
29,2.24,29,0.10183673469387754,0.9245614035087719,1.0
30,2.24,30,0.10183673469387754,0.8728070175438596,1.0
31,2.24,31,0.10183673469387754,0.8728070175438596,1.0
32,2.24,32,0.10183673469387754,0.8219298245614035,1.0
33,2.24,33,0.10183673469387754,0.8219298245614035,1.0
34,2.24,34,0.10183673469387754,0.7100877192982455,1.0
35,2.24,35,0.10183673469387754,0.7100877192982455,1.0
36,2.24,36,0.10183673469387754,0.587280701754386,1.0
37,2.24,37,0.10183673469387754,0.587280701754386,1.0
38,2.24,38,0.10183673469387754,0.587280701754386,1.0
39,2.24,39,0.10183673469387754,0.46447368421052626,1.0
40,2.24,40,0.10183673469387754,0.46447368421052626,1.0
41,2.24,41,0.11714285714285713,0.3543859649122807,1.0
42,2.24,42,0.11714285714285713,0.3543859649122807,1.0
43,2.24,43,0.11714285714285713,0.2557017543859649,1.0
44,2.24,44,0.11714285714285713,0.2557017543859649,1.0
45,2.24,45,0.11714285714285713,0.1539473684210526,1.0
46,2.24,46,0.11714285714285713,0.1539473684210526,1.0
47,2.24,47,0.11714285714285713,0.1539473684210526,1.0
48,2.24,48,0.13244897959183674,0.06798245614035092,1.0
49,2.24,49,0.13244897959183674,0.06798245614035092,1.0
50,2.24,50,0.13244897959183674,0.03552631578947374,1.0
51,2.24,51,0.13244897959183674,0.03552631578947374,1.0
52,2.24,52,0.13244897959183674,0.02017543859649118,1.0
53,2.24,53,0.13244897959183674,0.02017543859649118,1.0
54,2.24,54,0.13244897959183674,0.012280701754386003,1.0
55,2.24,55,0.2548979591836735,0.012280701754386003,0.9642857142857143
56,2.24,56,0.2548979591836735,0.012280701754386003,0.9642857142857143
57,2.24,57,0.2702040816326531,0.00877192982456143,0.95
58,2.24,58,0.2702040816326531,0.00877192982456143,0.95
59,2.24,59,0.2702040816326531,0.007894736842105288,0.9444444444444444
60,2.24,60,0.2702040816326531,0.007894736842105288,0.9444444444444444
61,2.24,61,0.4844897959183673,0.007894736842105288,0.3888888888888889
62,2.24,62,0.4844897959183673,0.007894736842105288,0.3888888888888889
